"ticker","company_name","sector"
"A","Agilent Technologies","Health Care"
"AAPL","Apple Inc.","Tech"
"ABBV","AbbVie","Health Care"
"ABNB","Airbnb","Consumer Disc"
"ABT","Abbott Laboratories","Health Care"
"ACGL","Arch Capital Group","Financials"
"ACN","Accenture","Tech"
"ADBE","Adobe Inc.","Tech"
"ADI","Analog Devices","Tech"
"ADM","Archer Daniels Midland","Staples"
"ADP","Automatic Data Processing","Industrials"
"ADSK","Autodesk","Tech"
"AEE","Ameren","Utilities"
"AEP","American Electric Power","Utilities"
"AES","AES Corporation","Utilities"
"AFL","Aflac","Financials"
"AIG","American International Group","Financials"
"AIZ","Assurant","Financials"
"AJG","Arthur J. Gallagher & Co.","Financials"
"AKAM","Akamai Technologies","Tech"
"ALB","Albemarle Corporation","Materials"
"ALGN","Align Technology","Health Care"
"ALL","Allstate","Financials"
"ALLE","Allegion","Industrials"
"AMAT","Applied Materials","Tech"
"AMCR","Amcor","Materials"
"AMD","Advanced Micro Devices","Tech"
"AME","Ametek","Industrials"
"AMGN","Amgen","Health Care"
"AMP","Ameriprise Financial","Financials"
"AMT","American Tower","Real Estate"
"AMZN","Amazon","Consumer Disc"
"ANET","Arista Networks","Tech"
"AON","Aon plc","Financials"
"AOS","A. O. Smith","Industrials"
"APA","APA Corporation","Energy"
"APD","Air Products","Materials"
"APH","Amphenol","Tech"
"APO","Apollo Global Management","Financials"
"APP","AppLovin","Tech"
"APTV","Aptiv","Consumer Disc"
"ARE","Alexandria Real Estate Equities","Real Estate"
"ARES","Ares Management","Financials"
"ATO","Atmos Energy","Utilities"
"AVB","AvalonBay Communities","Real Estate"
"AVGO","Broadcom","Tech"
"AVY","Avery Dennison","Materials"
"AWK","American Water Works","Utilities"
"AXON","Axon Enterprise","Industrials"
"AXP","American Express","Financials"
"AZO","AutoZone","Consumer Disc"
"BA","Boeing","Industrials"
"BAC","Bank of America","Financials"
"BALL","Ball Corporation","Materials"
"BAX","Baxter International","Health Care"
"BBY","Best Buy","Consumer Disc"
"BDX","Becton Dickinson","Health Care"
"BEN","Franklin Resources","Financials"
"BF.B","Brown–Forman","Staples"
"BG","Bunge Global","Staples"
"BIIB","Biogen","Health Care"
"BK","BNY Mellon","Financials"
"BKNG","Booking Holdings","Consumer Disc"
"BKR","Baker Hughes","Energy"
"BLDR","Builders FirstSource","Industrials"
"BLK","BlackRock","Financials"
"BMY","Bristol Myers Squibb","Health Care"
"BR","Broadridge Financial Solutions","Industrials"
"BRK.B","Berkshire Hathaway","Financials"
"BRO","Brown & Brown","Financials"
"BSX","Boston Scientific","Health Care"
"BX","Blackstone Inc.","Financials"
"BXP","BXP  Inc.","Real Estate"
"C","Citigroup","Financials"
"CAG","Conagra Brands","Staples"
"CAH","Cardinal Health","Health Care"
"CARR","Carrier Global","Industrials"
"CASY","Casey's","Staples"
"CAT","Caterpillar Inc.","Industrials"
"CB","Chubb Limited","Financials"
"CBOE","Cboe Global Markets","Financials"
"CBRE","CBRE Group","Real Estate"
"CCI","Crown Castle","Real Estate"
"CCL","Carnival Corporation","Consumer Disc"
"CDNS","Cadence Design Systems","Tech"
"CDW","CDW Corporation","Tech"
"CEG","Constellation Energy","Utilities"
"CF","CF Industries","Materials"
"CFG","Citizens Financial Group","Financials"
"CHD","Church & Dwight","Staples"
"CHRW","C.H. Robinson","Industrials"
"CHTR","Charter Communications","Comm Services"
"CI","Cigna","Health Care"
"CIEN","Ciena","Tech"
"CINF","Cincinnati Financial","Financials"
"CL","Colgate-Palmolive","Staples"
"CLX","Clorox","Staples"
"CMCSA","Comcast","Comm Services"
"CME","CME Group","Financials"
"CMG","Chipotle Mexican Grill","Consumer Disc"
"CMI","Cummins","Industrials"
"CMS","CMS Energy","Utilities"
"CNC","Centene Corporation","Health Care"
"CNP","CenterPoint Energy","Utilities"
"COF","Capital One","Financials"
"COHR","Coherent Corp.","Tech"
"COIN","Coinbase","Financials"
"COO","Cooper Companies (The)","Health Care"
"COP","ConocoPhillips","Energy"
"COR","Cencora","Health Care"
"COST","Costco","Staples"
"CPAY","Corpay","Financials"
"CPB","Campbell's Company (The)","Staples"
"CPRT","Copart","Industrials"
"CPT","Camden Property Trust","Real Estate"
"CRH","CRH plc","Materials"
"CRL","Charles River Laboratories","Health Care"
"CRM","Salesforce","Tech"
"CRWD","CrowdStrike","Tech"
"CSCO","Cisco","Tech"
"CSGP","CoStar Group","Real Estate"
"CSX","CSX Corporation","Industrials"
"CTAS","Cintas","Industrials"
"CTSH","Cognizant","Tech"
"CTVA","Corteva","Materials"
"CVNA","Carvana","Consumer Disc"
"CVS","CVS Health","Health Care"
"CVX","Chevron Corporation","Energy"
"D","Dominion Energy","Utilities"
"DAL","Delta Air Lines","Industrials"
"DASH","DoorDash","Consumer Disc"
"DD","DuPont","Materials"
"DDOG","Datadog","Tech"
"DE","Deere & Company","Industrials"
"DECK","Deckers Brands","Consumer Disc"
"DELL","Dell Technologies","Tech"
"DG","Dollar General","Staples"
"DGX","Quest Diagnostics","Health Care"
"DHI","D. R. Horton","Consumer Disc"
"DHR","Danaher Corporation","Health Care"
"DIS","Walt Disney Company (The)","Comm Services"
"DLR","Digital Realty","Real Estate"
"DLTR","Dollar Tree","Staples"
"DOC","Healthpeak Properties","Real Estate"
"DOV","Dover Corporation","Industrials"
"DOW","Dow Inc.","Materials"
"DPZ","Domino's","Consumer Disc"
"DRI","Darden Restaurants","Consumer Disc"
"DTE","DTE Energy","Utilities"
"DUK","Duke Energy","Utilities"
"DVA","DaVita","Health Care"
"DVN","Devon Energy","Energy"
"DXCM","Dexcom","Health Care"
"EA","Electronic Arts","Comm Services"
"EBAY","eBay Inc.","Consumer Disc"
"ECL","Ecolab","Materials"
"ED","Consolidated Edison","Utilities"
"EFX","Equifax","Industrials"
"EG","Everest Group","Financials"
"EIX","Edison International","Utilities"
"EL","Estée Lauder Companies (The)","Staples"
"ELV","Elevance Health","Health Care"
"EME","Emcor","Industrials"
"EMR","Emerson Electric","Industrials"
"EOG","EOG Resources","Energy"
"EPAM","EPAM Systems","Tech"
"EQIX","Equinix","Real Estate"
"EQR","Equity Residential","Real Estate"
"EQT","EQT Corporation","Energy"
"ERIE","Erie Indemnity","Financials"
"ES","Eversource Energy","Utilities"
"ESS","Essex Property Trust","Real Estate"
"ETN","Eaton Corporation","Industrials"
"ETR","Entergy","Utilities"
"EVRG","Evergy","Utilities"
"EW","Edwards Lifesciences","Health Care"
"EXC","Exelon","Utilities"
"EXE","Expand Energy","Energy"
"EXPD","Expeditors International","Industrials"
"EXPE","Expedia Group","Consumer Disc"
"EXR","Extra Space Storage","Real Estate"
"F","Ford Motor Company","Consumer Disc"
"FANG","Diamondback Energy","Energy"
"FAST","Fastenal","Industrials"
"FCX","Freeport-McMoRan","Materials"
"FDS","FactSet","Financials"
"FDX","FedEx","Industrials"
"FE","FirstEnergy","Utilities"
"FFIV","F5  Inc.","Tech"
"FICO","Fair Isaac","Tech"
"FIS","Fidelity National Information Services","Financials"
"FISV","Fiserv","Financials"
"FITB","Fifth Third Bancorp","Financials"
"FIX","Comfort Systems USA","Industrials"
"FOX","Fox Corporation (Class B)","Comm Services"
"FOXA","Fox Corporation (Class A)","Comm Services"
"FRT","Federal Realty Investment Trust","Real Estate"
"FSLR","First Solar","Tech"
"FTNT","Fortinet","Tech"
"FTV","Fortive","Industrials"
"GD","General Dynamics","Industrials"
"GDDY","GoDaddy","Tech"
"GE","GE Aerospace","Industrials"
"GEHC","GE HealthCare","Health Care"
"GEN","Gen Digital","Tech"
"GEV","GE Vernova","Industrials"
"GILD","Gilead Sciences","Health Care"
"GIS","General Mills","Staples"
"GL","Globe Life","Financials"
"GLW","Corning Inc.","Tech"
"GM","General Motors","Consumer Disc"
"GNRC","Generac","Industrials"
"GOOG","Alphabet Inc. (Class C)","Comm Services"
"GOOGL","Alphabet Inc. (Class A)","Comm Services"
"GPC","Genuine Parts Company","Consumer Disc"
"GPN","Global Payments","Financials"
"GRMN","Garmin","Consumer Disc"
"GS","Goldman Sachs","Financials"
"GWW","W. W. Grainger","Industrials"
"HAL","Halliburton","Energy"
"HAS","Hasbro","Consumer Disc"
"HBAN","Huntington Bancshares","Financials"
"HCA","HCA Healthcare","Health Care"
"HD","Home Depot (The)","Consumer Disc"
"HIG","Hartford (The)","Financials"
"HII","Huntington Ingalls Industries","Industrials"
"HLT","Hilton Worldwide","Consumer Disc"
"HON","Honeywell","Industrials"
"HOOD","Robinhood Markets","Financials"
"HPE","Hewlett Packard Enterprise","Tech"
"HPQ","HP Inc.","Tech"
"HRL","Hormel Foods","Staples"
"HSIC","Henry Schein","Health Care"
"HST","Host Hotels & Resorts","Real Estate"
"HSY","Hershey Company (The)","Staples"
"HUBB","Hubbell Incorporated","Industrials"
"HUM","Humana","Health Care"
"HWM","Howmet Aerospace","Industrials"
"IBKR","Interactive Brokers","Financials"
"IBM","IBM","Tech"
"ICE","Intercontinental Exchange","Financials"
"IDXX","Idexx Laboratories","Health Care"
"IEX","IDEX Corporation","Industrials"
"IFF","International Flavors & Fragrances","Materials"
"INCY","Incyte","Health Care"
"INTC","Intel","Tech"
"INTU","Intuit","Tech"
"INVH","Invitation Homes","Real Estate"
"IP","International Paper","Materials"
"IQV","IQVIA","Health Care"
"IR","Ingersoll Rand","Industrials"
"IRM","Iron Mountain","Real Estate"
"ISRG","Intuitive Surgical","Health Care"
"IT","Gartner","Tech"
"ITW","Illinois Tool Works","Industrials"
"IVZ","Invesco","Financials"
"J","Jacobs Solutions","Industrials"
"JBHT","J.B. Hunt","Industrials"
"JBL","Jabil","Tech"
"JCI","Johnson Controls","Industrials"
"JKHY","Jack Henry & Associates","Financials"
"JNJ","Johnson & Johnson","Health Care"
"JPM","JPMorgan Chase","Financials"
"KDP","Keurig Dr Pepper","Staples"
"KEY","KeyCorp","Financials"
"KEYS","Keysight Technologies","Tech"
"KHC","Kraft Heinz","Staples"
"KIM","Kimco Realty","Real Estate"
"KKR","KKR & Co.","Financials"
"KLAC","KLA Corporation","Tech"
"KMB","Kimberly-Clark","Staples"
"KMI","Kinder Morgan","Energy"
"KO","Coca-Cola Company (The)","Staples"
"KR","Kroger","Staples"
"KVUE","Kenvue","Staples"
"L","Loews Corporation","Financials"
"LDOS","Leidos","Industrials"
"LEN","Lennar","Consumer Disc"
"LH","Labcorp","Health Care"
"LHX","L3Harris","Industrials"
"LII","Lennox International","Industrials"
"LIN","Linde plc","Materials"
"LITE","Lumentum","Tech"
"LLY","Lilly (Eli)","Health Care"
"LMT","Lockheed Martin","Industrials"
"LNT","Alliant Energy","Utilities"
"LOW","Lowe's","Consumer Disc"
"LRCX","Lam Research","Tech"
"LULU","Lululemon Athletica","Consumer Disc"
"LUV","Southwest Airlines","Industrials"
"LVS","Las Vegas Sands","Consumer Disc"
"LYB","LyondellBasell","Materials"
"LYV","Live Nation Entertainment","Comm Services"
"MA","Mastercard","Financials"
"MAA","Mid-America Apartment Communities","Real Estate"
"MAR","Marriott International","Consumer Disc"
"MAS","Masco","Industrials"
"MCD","McDonald's","Consumer Disc"
"MCHP","Microchip Technology","Tech"
"MCK","McKesson Corporation","Health Care"
"MCO","Moody's Corporation","Financials"
"MDLZ","Mondelez International","Staples"
"MDT","Medtronic","Health Care"
"MET","MetLife","Financials"
"META","Meta Platforms","Comm Services"
"MGM","MGM Resorts","Consumer Disc"
"MKC","McCormick & Company","Staples"
"MLM","Martin Marietta Materials","Materials"
"MMM","3M","Industrials"
"MNST","Monster Beverage","Staples"
"MO","Altria","Staples"
"MOS","Mosaic Company (The)","Materials"
"MPC","Marathon Petroleum","Energy"
"MPWR","Monolithic Power Systems","Tech"
"MRK","Merck & Co.","Health Care"
"MRNA","Moderna","Health Care"
"MRSH","Marsh McLennan","Financials"
"MS","Morgan Stanley","Financials"
"MSCI","MSCI Inc.","Financials"
"MSFT","Microsoft","Tech"
"MSI","Motorola Solutions","Tech"
"MTB","M&T Bank","Financials"
"MTD","Mettler Toledo","Health Care"
"MU","Micron Technology","Tech"
"NCLH","Norwegian Cruise Line Holdings","Consumer Disc"
"NDAQ","Nasdaq  Inc.","Financials"
"NDSN","Nordson Corporation","Industrials"
"NEE","NextEra Energy","Utilities"
"NEM","Newmont","Materials"
"NFLX","Netflix","Comm Services"
"NI","NiSource","Utilities"
"NKE","Nike  Inc.","Consumer Disc"
"NOC","Northrop Grumman","Industrials"
"NOW","ServiceNow","Tech"
"NRG","NRG Energy","Utilities"
"NSC","Norfolk Southern","Industrials"
"NTAP","NetApp","Tech"
"NTRS","Northern Trust","Financials"
"NUE","Nucor","Materials"
"NVDA","Nvidia","Tech"
"NVR","NVR  Inc.","Consumer Disc"
"NWS","News Corp (Class B)","Comm Services"
"NWSA","News Corp (Class A)","Comm Services"
"NXPI","NXP Semiconductors","Tech"
"O","Realty Income","Real Estate"
"ODFL","Old Dominion","Industrials"
"OKE","Oneok","Energy"
"OMC","Omnicom Group","Comm Services"
"ON","ON Semiconductor","Tech"
"ORCL","Oracle Corporation","Tech"
"ORLY","O’Reilly Automotive","Consumer Disc"
"OTIS","Otis Worldwide","Industrials"
"OXY","Occidental Petroleum","Energy"
"PANW","Palo Alto Networks","Tech"
"PAYX","Paychex","Industrials"
"PCAR","Paccar","Industrials"
"PCG","PG&E Corporation","Utilities"
"PEG","Public Service Enterprise Group","Utilities"
"PEP","PepsiCo","Staples"
"PFE","Pfizer","Health Care"
"PFG","Principal Financial Group","Financials"
"PG","Procter & Gamble","Staples"
"PGR","Progressive Corporation","Financials"
"PH","Parker Hannifin","Industrials"
"PHM","PulteGroup","Consumer Disc"
"PKG","Packaging Corporation of America","Materials"
"PLD","Prologis","Real Estate"
"PLTR","Palantir Technologies","Tech"
"PM","Philip Morris International","Staples"
"PNC","PNC Financial Services","Financials"
"PNR","Pentair","Industrials"
"PNW","Pinnacle West Capital","Utilities"
"PODD","Insulet Corporation","Health Care"
"POOL","Pool Corporation","Consumer Disc"
"PPG","PPG Industries","Materials"
"PPL","PPL Corporation","Utilities"
"PRU","Prudential Financial","Financials"
"PSA","Public Storage","Real Estate"
"PSKY","Paramount Skydance Corporation","Comm Services"
"PSX","Phillips 66","Energy"
"PTC","PTC Inc.","Tech"
"PWR","Quanta Services","Industrials"
"PYPL","PayPal","Financials"
"Q","Qnity Electronics","Tech"
"QCOM","Qualcomm","Tech"
"RCL","Royal Caribbean Group","Consumer Disc"
"REG","Regency Centers","Real Estate"
"REGN","Regeneron Pharmaceuticals","Health Care"
"RF","Regions Financial Corporation","Financials"
"RJF","Raymond James Financial","Financials"
"RL","Ralph Lauren Corporation","Consumer Disc"
"RMD","ResMed","Health Care"
"ROK","Rockwell Automation","Industrials"
"ROL","Rollins  Inc.","Industrials"
"ROP","Roper Technologies","Tech"
"ROST","Ross Stores","Consumer Disc"
"RSG","Republic Services","Industrials"
"RTX","RTX Corporation","Industrials"
"RVTY","Revvity","Health Care"
"SATS","EchoStar","Comm Services"
"SBAC","SBA Communications","Real Estate"
"SBUX","Starbucks","Consumer Disc"
"SCHW","Charles Schwab Corporation","Financials"
"SHW","Sherwin-Williams","Materials"
"SJM","J.M. Smucker Company (The)","Staples"
"SLB","Schlumberger","Energy"
"SMCI","Supermicro","Tech"
"SNA","Snap-on","Industrials"
"SNDK","Sandisk","Tech"
"SNPS","Synopsys","Tech"
"SO","Southern Company","Utilities"
"SOLV","Solventum","Health Care"
"SPG","Simon Property Group","Real Estate"
"SPGI","S&P Global","Financials"
"SRE","Sempra","Utilities"
"STE","Steris","Health Care"
"STLD","Steel Dynamics","Materials"
"STT","State Street Corporation","Financials"
"STX","Seagate Technology","Tech"
"STZ","Constellation Brands","Staples"
"SW","Smurfit Westrock","Materials"
"SWK","Stanley Black & Decker","Industrials"
"SWKS","Skyworks Solutions","Tech"
"SYF","Synchrony Financial","Financials"
"SYK","Stryker Corporation","Health Care"
"SYY","Sysco","Staples"
"T","AT&T","Comm Services"
"TAP","Molson Coors Beverage Company","Staples"
"TDG","TransDigm Group","Industrials"
"TDY","Teledyne Technologies","Tech"
"TECH","Bio-Techne","Health Care"
"TEL","TE Connectivity","Tech"
"TER","Teradyne","Tech"
"TFC","Truist Financial","Financials"
"TGT","Target Corporation","Staples"
"TJX","TJX Companies","Consumer Disc"
"TKO","TKO Group Holdings","Comm Services"
"TMO","Thermo Fisher Scientific","Health Care"
"TMUS","T-Mobile US","Comm Services"
"TPL","Texas Pacific Land Corporation","Energy"
"TPR","Tapestry  Inc.","Consumer Disc"
"TRGP","Targa Resources","Energy"
"TRMB","Trimble Inc.","Tech"
"TROW","T. Rowe Price","Financials"
"TRV","Travelers Companies (The)","Financials"
"TSCO","Tractor Supply","Consumer Disc"
"TSLA","Tesla  Inc.","Consumer Disc"
"TSN","Tyson Foods","Staples"
"TT","Trane Technologies","Industrials"
"TTD","Trade Desk (The)","Comm Services"
"TTWO","Take-Two Interactive","Comm Services"
"TXN","Texas Instruments","Tech"
"TXT","Textron","Industrials"
"TYL","Tyler Technologies","Tech"
"UAL","United Airlines Holdings","Industrials"
"UBER","Uber","Industrials"
"UDR","UDR  Inc.","Real Estate"
"UHS","Universal Health Services","Health Care"
"ULTA","Ulta Beauty","Consumer Disc"
"UNH","UnitedHealth Group","Health Care"
"UNP","Union Pacific Corporation","Industrials"
"UPS","United Parcel Service","Industrials"
"URI","United Rentals","Industrials"
"USB","U.S. Bancorp","Financials"
"V","Visa Inc.","Financials"
"VEEV","Veeva Systems","Health Care"
"VICI","Vici Properties","Real Estate"
"VLO","Valero Energy","Energy"
"VLTO","Veralto","Industrials"
"VMC","Vulcan Materials Company","Materials"
"VRSK","Verisk Analytics","Industrials"
"VRSN","Verisign","Tech"
"VRT","Vertiv","Industrials"
"VRTX","Vertex Pharmaceuticals","Health Care"
"VST","Vistra Corp.","Utilities"
"VTR","Ventas","Real Estate"
"VTRS","Viatris","Health Care"
"VZ","Verizon","Comm Services"
"WAB","Wabtec","Industrials"
"WAT","Waters Corporation","Health Care"
"WBD","Warner Bros. Discovery","Comm Services"
"WDAY","Workday  Inc.","Tech"
"WDC","Western Digital","Tech"
"WEC","WEC Energy Group","Utilities"
"WELL","Welltower","Real Estate"
"WFC","Wells Fargo","Financials"
"WM","Waste Management","Industrials"
"WMB","Williams Companies","Energy"
"WMT","Walmart","Staples"
"WRB","W. R. Berkley Corporation","Financials"
"WSM","Williams-Sonoma  Inc.","Consumer Disc"
"WST","West Pharmaceutical Services","Health Care"
"WTW","Willis Towers Watson","Financials"
"WY","Weyerhaeuser","Real Estate"
"WYNN","Wynn Resorts","Consumer Disc"
"XEL","Xcel Energy","Utilities"
"XOM","ExxonMobil","Energy"
"XYL","Xylem Inc.","Industrials"
"XYZ","Block  Inc.","Financials"
"YUM","Yum! Brands","Consumer Disc"
"ZBH","Zimmer Biomet","Health Care"
"ZBRA","Zebra Technologies","Tech"
"ZTS","Zoetis","Health Care"
